imdb_title_id,mean_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1
tt1536437,7.1,499,507,181,213,296,225,156,94,55,88
tt1536440,6.6,107,92,150,186,178,102,51,29,27,40
tt1536445,7.4,4,1,125,27,2,0,0,0,0,11
tt1536536,4.9,104,21,43,74,91,160,156,92,95,102
tt1536537,7.0,8061,8125,20995,31082,17712,7216,2932,1508,803,973
tt1537032,5.2,156,48,80,163,197,213,206,183,105,142
tt1537041,7.7,16,14,44,14,2,4,2,0,0,5
tt1537302,5.4,24,5,5,8,7,8,4,7,13,20
tt1537314,5.8,68,19,18,13,28,38,40,27,20,30
tt1537392,5.6,25,13,8,23,20,15,17,19,10,21
tt1537401,6.0,141,115,309,433,485,334,172,120,81,135
tt1537715,6.2,209,92,229,384,508,299,146,86,45,111
tt1537717,5.8,243,64,115,243,311,254,165,99,76,161
tt1537770,7.3,19,13,38,29,12,9,2,4,0,5
tt1537772,5.3,228,35,80,120,229,262,173,109,92,227
tt1537891,6.4,113,28,56,91,106,49,42,23,14,46
tt1537898,7.2,51,20,38,61,50,15,7,4,3,6
tt1537967,7.2,51,16,12,16,3,5,5,0,3,22
tt1538210,6.4,176,28,32,45,70,58,36,22,33,69
tt1538221,6.6,34,49,156,303,190,96,31,16,16,9
tt1538401,7.3,298,226,376,439,261,108,51,29,23,51
tt1538403,6.4,18871,7530,13335,20993,24242,17436,9748,5808,3460,4818
tt1538534,3.6,28,6,3,6,13,12,13,33,40,86
tt1538545,5.8,25,28,97,177,210,163,59,33,19,51
tt1538819,6.6,545,246,662,1286,968,415,183,96,59,269
tt1538927,5.4,12,8,13,11,13,16,13,10,9,15
tt1538988,7.3,31,34,60,49,33,18,3,2,2,7
tt1539042,6.1,110,22,27,31,33,40,19,8,20,74
tt1539325,6.8,66,83,234,404,253,113,47,20,15,8
tt1539997,7.6,121,164,292,227,81,32,13,8,4,25
tt1540005,4.7,106,17,46,122,181,252,269,192,105,167
tt1540011,5.0,1203,726,2255,4992,7799,8388,5854,3649,2460,2896
tt1540014,4.9,29,6,5,12,31,31,38,25,13,35
tt1540116,5.6,40,30,68,75,104,120,73,50,28,36
tt1540128,5.9,1343,674,1981,5109,8530,5769,2506,1111,633,714
tt1540133,7.4,5746,9528,24069,23909,9804,3372,1197,593,398,597
tt1540400,5.8,246,41,156,370,584,419,220,121,89,146
tt1540404,6.5,28,13,14,30,25,21,10,8,5,8
tt1540741,5.8,379,221,728,2158,2835,2132,866,394,249,309
tt1540761,3.9,57,13,15,40,65,129,171,150,155,176
tt1540767,2.8,208,34,65,135,171,336,513,861,1111,2113
tt1540790,5.9,22,17,11,17,5,1,9,7,7,25
tt1540803,5.0,55,9,15,54,68,81,62,40,35,70
tt1540996,7.4,50,35,26,35,19,11,11,6,4,8
tt1541110,4.2,19,5,8,9,17,28,33,27,38,41
tt1541123,5.6,88,64,127,249,315,277,168,104,69,87
tt1541149,6.5,284,213,708,1437,1292,590,256,94,68,107
tt1541160,6.5,1894,1732,4589,8577,7464,3693,1636,824,453,529
tt1541699,4.9,13,4,6,11,15,21,13,8,10,23
tt1541874,5.8,839,443,845,1287,1463,1233,830,555,394,570
tt1541995,6.3,335,213,447,681,785,476,224,140,82,153
tt1542344,7.6,31245,48275,114106,93974,33591,10985,4326,2198,1297,2314
tt1542482,7.0,168,119,293,444,299,130,50,25,15,25
tt1542484,4.7,49,4,11,13,14,32,44,37,36,46
tt1542486,7.3,89,75,121,136,88,36,12,11,9,15
tt1542488,6.2,146,25,52,78,102,89,68,32,27,53
tt1542768,6.0,755,496,1619,4341,6022,3407,1429,683,374,443
tt1542840,7.0,98,134,338,394,173,72,41,27,22,40
tt1542852,6.9,360,516,1567,2593,1511,555,199,95,45,90
tt1542960,5.7,24,12,14,25,21,20,9,21,7,20
tt1543004,6.3,23,29,57,99,100,44,34,8,9,16
tt1543017,5.9,6,3,10,20,23,17,13,0,3,6
tt1543037,7.0,44,13,27,47,68,27,9,8,0,2
tt1543047,6.3,69,5,4,7,6,9,3,5,18,30
tt1543211,6.2,69,9,27,53,87,49,35,12,11,30
tt1543252,4.2,25,8,25,39,74,97,112,98,88,88
tt1543283,7.0,135,62,118,118,80,55,21,19,20,39
tt1543459,4.6,61,40,70,110,140,183,183,115,98,214
tt1543652,5.9,60,10,10,17,14,14,14,12,12,42
tt1543701,8.1,432,117,213,183,55,23,10,12,4,48
tt1543739,3.6,31,2,1,2,5,2,3,5,12,82
